Id,Label
0,0
1,1
2,0
3,0
4,0
5,1
6,3
7,0
8,1
9,6
10,3
11,0
12,1
13,2
14,4
15,0
16,0
17,0
18,3
19,3
20,3
21,3
22,5
23,4
24,0
25,0
26,0
27,0
28,0
29,2
30,4
31,0
32,3
33,0
34,2
35,2
36,1
37,0
38,5
39,3
40,2
41,0
42,0
43,1
44,4
45,0
46,2
47,1
48,2
49,0
50,5
51,0
52,2
53,0
54,4
55,0
56,0
57,5
58,2
59,0
60,0
61,0
62,3
63,0
64,5
65,0
66,1
67,4
68,1
69,0
70,1
71,0
72,1
73,4
74,1
75,0
76,1
77,3
78,0
79,2
80,0
81,1
82,0
83,1
84,4
85,0
86,1
87,0
88,3
89,4
90,5
91,0
92,0
93,5
94,1
95,0
96,3
97,1
98,4
99,3
100,1
101,0
102,4
103,0
104,2
105,1
106,2
107,2
108,0
109,2
110,1
111,3
112,0
113,0
114,1
115,0
116,6
117,5
118,1
119,0
120,0
121,0
122,1
123,2
124,0
125,0
126,2
127,1
128,0
129,5
130,4
131,1
132,0
133,2
134,1
135,1
136,1
137,1
138,0
139,0
140,0
141,6
142,0
143,4
144,6
145,0
146,5
147,1
148,2
149,3
150,0
151,0
152,1
153,2
154,0
155,0
156,0
157,1
158,0
159,3
160,0
161,0
162,1
163,0
164,1
165,0
166,2
167,3
168,0
169,0
170,1
171,2
172,0
173,0
174,0
175,1
176,0
177,0
178,0
179,3
180,1
181,0
182,0
183,3
184,0
185,1
186,0
187,0
188,6
189,0
190,3
191,0
192,2
193,0
194,6
195,0
196,4
197,0
198,6
199,5
200,3
201,5
202,0
203,1
204,1
205,5
206,4
207,1
208,2
209,0
210,1
211,0
212,0
213,5
214,0
215,0
216,1
217,1
218,1
219,6
220,3
221,0
222,0
223,0
224,1
225,2
226,5
227,0
228,4
229,1
230,5
231,5
232,1
233,0
234,1
235,2
236,0
237,0
238,2
239,1
240,3
241,1
242,0
243,0
244,3
245,2
246,5
247,0
248,1
249,0
250,4
251,0
252,0
253,2
254,6
255,6
256,1
257,0
258,1
259,3
260,0
261,3
262,0
263,0
264,0
265,5
266,2
267,1
268,0
269,4
270,0
271,1
272,4
273,6
274,0
275,6
276,1
277,0
278,1
279,6
280,1
281,3
282,0
283,3
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,1
292,2
293,4
294,0
295,3
296,5
297,0
298,1
299,0
300,0
301,6
302,0
303,0
304,1
305,0
306,1
307,0
308,2
309,1
310,1
311,0
312,0
313,3
314,0
315,2
316,1
317,6
318,6
319,2
320,1
321,1
322,0
323,0
324,2
325,0
326,5
327,1
328,2
329,0
330,0
331,0
332,5
333,0
334,2
335,1
336,2
337,1
338,5
339,0
340,0
341,2
342,5
343,2
344,1
345,0
346,2
347,0
348,0
349,0
350,4
351,0
352,0
353,0
354,1
355,2
356,0
357,0
358,0
359,0
360,1
361,0
362,4
363,0
364,0
365,3
366,4
367,1
368,0
369,1
370,1
371,0
372,1
373,0
374,0
375,2
376,5
377,1
378,3
379,4
380,5
381,1
382,1
383,0
384,0
385,1
386,0
387,5
388,0
389,0
390,0
391,6
392,2
393,3
394,0
395,1
396,2
397,3
398,2
399,0
400,1
401,1
402,1
403,0
404,0
405,0
406,0
407,1
408,1
409,4
410,0
411,0
412,1
413,5
414,6
415,0
416,3
417,4
418,1
419,1
420,0
421,1
422,3
423,6
424,2
425,2
426,1
427,0
428,0
429,0
430,1
431,0
432,2
433,0
434,1
435,4
436,4
437,0
438,2
439,5
440,4
441,2
442,0
443,5
444,3
445,1
446,1
447,0
448,0
449,1
450,0
451,4
452,1
453,1
454,4
455,4
456,0
457,3
458,5
459,5
460,2
461,0
462,5
463,6
464,0
465,1
466,4
467,0
468,0
469,0
470,1
471,0
472,4
473,2
474,2
475,0
476,0
477,0
478,3
479,3
480,0
481,0
482,4
483,6
484,0
485,1
486,6
487,4
488,0
489,4
490,2
491,0
492,2
493,0
494,1
495,0
496,0
497,0
498,1
499,4
500,1
501,1
502,0
503,0
504,0
505,1
506,0
507,4
508,0
509,5
510,4
511,0
512,1
513,3
514,1
515,1
516,0
517,1
518,1
519,1
520,4
521,3
522,3
523,0
524,3
525,1
526,0
527,0
528,2
529,5
530,3
531,0
532,0
533,1
534,6
535,3
536,5
537,1
538,0
539,0
540,1
541,5
542,0
543,0
544,0
545,0
546,0
547,3
548,5
549,0
550,0
551,0
552,0
553,1
554,5
555,1
556,0
557,4
558,0
559,3
560,4
561,2
562,2
563,1
564,4
565,0
566,1
567,0
568,0
569,0
570,0
571,4
572,3
573,1
574,6
575,0
576,0
577,0
578,1
579,1
580,1
581,5
582,0
583,0
584,0
585,0
586,0
587,3
588,2
589,0
590,4
591,0
592,1
593,3
594,5
595,0
596,0
597,3
598,0
599,1
600,0
601,0
602,0
603,0
604,6
605,1
606,1
607,3
608,1
609,5
610,2
611,0
612,1
613,2
614,3
615,3
616,0
617,2
618,4
619,1
620,0
621,1
622,2
623,0
624,1
625,1
626,1
627,1
628,1
629,1
630,1
631,1
632,5
633,1
634,5
635,0
636,0
637,0
638,2
639,4
640,2
641,1
642,0
643,1
644,1
645,0
646,4
647,0
648,1
649,1
650,6
651,0
652,0
653,3
654,3
655,3
656,5
657,1
658,0
659,4
660,2
661,0
662,0
663,5
664,0
665,2
666,4
667,4
668,5
669,0
670,1
671,0
672,0
673,4
674,2
675,1
676,3
677,0
678,2
679,0
680,3
681,5
682,4
683,3
684,0
685,1
686,5
